Data;Abramide;Acciuga;Aguglia;Alaccia;Anguilla;Aquila di mare;Aragosta;Arca di Noe';Ascidia;Astice;Barbo;Barracuda;Bibo;Boga;Branzino;Calamari;Canestrelli;Cannolicchi;Capasanta;Carpa;Cavedano;Cefali;Cepola;Cernia bruna;Cetorino;Cheppia;Corbola;Cuori;Delfini;Dentice;Fasolaro;Favolli;Galletto;Gallinelle;Gamberi;Gambero grigio;Gattucci;Ghiozzetti;Ghiozzetto quadrimaculato;Ghiozzo go';Ghiozzo nero;Ghiozzo paganello;Grancevola;Granchio verde;Granchio verde - femmina con uova;Granchio verde - in muta;Grongo;Lampuga;Latterino capoccione;Lepre di mare;Lumaca di mare;Magnosa;Maruzzella;Mazzancolla;Mennole;Merlano;Merluzzetto;Merluzzo;Misto pesce;Misto pesce acqua dolce;Mitilo;Motelle;Murici;Musdee;Ombrine;Orata;Ostriche;Palamita;Pannocchia;Papalina;Passera;Pastinache;Pesce San Pietro;Pesce sciabola;Pesce serra;Pesce spada;Piede di pellicano;Polpi;Rane pescatrici;Razza bavosa;Razze;Riccio di mare;Ricciole;Rombi;Rossetto;Sacchetto;Salpa;Sardina;Savetta;Scampo;Scorfani;Seppie;Sgombri;Smeriglio;Sogliole;Sparidi;Squali;Squalo volpe;Suri;Tartaruga;Tartufo di mare;Tellina;Tinca;Tonni;Tracine;Triglia di fango;Triglia di scoglio;Trota;Venere gallina;Vongole;Zanchette;TOTALI
01/1945;-1;0;0;-1;759.85;-1;-1;-1;-1;-1;-1;-1;-1;-1;489.6;0;36934.02062;1149.7;-1;-1;-1;5879.45;0;0;-1;-1;-1;831.4;-1;0;0;-1;-1;0;87.65;38.55;0;2.1;-1;-1;-1;-1;0;0;-1;2.7;-1;-1;1518.7;-1;-1;-1;-1;0;0;0;-1;0;0;1227.3;-1;-1;40.75;-1;1.5;510.05;0;-1;0;-1;2.6;-1;-1;-1;-1;-1;-1;15.45;0;-1;0;-1;-1;0;-1;-1;-1;0;-1;-1;-1;0;0;-1;2.15;0;0;0;-1;0;0;-1;3.45;-1;-1;0;-1;-1;4690.3;0;-1;54127.27062
02/1945;-1;0;0;-1;28.3;-1;-1;-1;-1;-1;-1;-1;-1;-1;7.5;0;44777.44845;367.35;-1;-1;-1;385.15;0;0;-1;-1;-1;1398.75;-1;0;0;-1;-1;0;84.05;67.55;0;-1;-1;3;-1;-1;0;0;-1;11;-1;-1;2685.9;-1;-1;-1;-1;0;0;88.25;-1;0;16.05;1487.2;-1;-1;-1;-1;-1;-1;0;-1;0;-1;220.4;-1;-1;-1;-1;-1;-1;0;0;-1;93.7;-1;-1;14.2;-1;-1;-1;0;-1;-1;-1;0;0;-1;0;0;0;0;-1;0;0;-1;-1;-1;-1;0;-1;7.65;3859.25;17.75;-1;55557.44845
03/1945;-1;0;0;-1;104;-1;-1;-1;-1;20.45;-1;-1;-1;-1;0.4;0;0;370.35;-1;-1;-1;236.55;0;0;-1;-1;-1;0;-1;0;0;-1;-1;0;699.85;295.65;0;21;-1;487.2;-1;-1;0;413.3;-1;1055.2;-1;-1;6461.65;-1;-1;-1;-1;0;0;431.55;-1;0;27.15;4171.5;-1;-1;-1;-1;-1;-1;0;-1;0;-1;1146;-1;-1;-1;-1;-1;196.5;0;0;-1;149.55;-1;-1;7.7;-1;-1;-1;0;-1;-1;-1;78;0;-1;24;0;0;0;-1;0;0;-1;-1;-1;-1;0;-1;0.4;465;0;-1;16802.95
04/1945;-1;3.75;53.9;-1;1394.55;-1;-1;-1;-1;-1;-1;-1;-1;-1;3.8;1.5;1053.865979;17.25;-1;-1;-1;12;0;0;-1;-1;-1;0;-1;0;0;-1;-1;0;786.55;136.4;0;-1;-1;1917.35;-1;-1;0;2173.85;-1;14083.35;-1;-1;5191.3;-1;-1;-1;-1;0;0;0;-1;0;313.15;1178.8;-1;-1;-1;-1;2.2;-1;0;-1;0;-1;2411.95;-1;-1;-1;-1;-1;-1;0;0;-1;0;-1;-1;18.15;-1;-1;-1;0;-1;-1;-1;7234.1;0;-1;10;0;0;0;-1;0;0;-1;136.9;-1;-1;0;-1;-1;-1;0;-1;38071.66598
05/1945;-1;9607;137.55;-1;23410;-1;-1;-1;-1;88.15;-1;-1;-1;-1;259.4;504.55;546.3917526;0;-1;-1;-1;4867.35;0;0;-1;-1;-1;0;-1;0;0;-1;-1;1145;1652;315;176;-1;-1;8469;-1;-1;929.6;667;-1;7156.5;-1;-1;11970;-1;-1;-1;-1;0;0;5278;-1;140.2;5615;10096;-1;-1;85.4;-1;1085.7;12.6;0;-1;23;1928;23038.96;-1;47.2;-1;-1;-1;-1;0;0;-1;10397;-1;-1;810.25;-1;-1;-1;4788;-1;-1;-1;47027.55;36032.9;-1;2105.2;0;315.2;0;-1;0;0;-1;759;-1;-1;5777;-1;-1;-1;0;-1;227204.6518
06/1945;-1;11892;1052.35;-1;29113.95;-1;-1;-1;-1;284;-1;-1;-1;-1;1987.3;880;2897.42268;0;-1;-1;-1;8097;0;0;-1;-1;-1;0;-1;0;0;-1;-1;1999;4343.9;470.2;310.7;-1;-1;5852.95;-1;-1;1570;0;-1;5288.35;-1;-1;15088;-1;-1;-1;-1;0;0;3034;-1;533.6;9393;16726;-1;-1;2985;-1;1784.55;11.9;0;-1;1357.8;3251;26832.8;-1;-1;-1;-1;-1;-1;0;0;1805.55;16055.7;-1;-1;1133.8;-1;-1;-1;10454.25;-1;-1;-1;29525;66641.9;-1;14935;266.65;1474;0;-1;0;0;-1;1370;-1;-1;6367;-1;-1;-1;0;-1;307007.6227
07/1945;-1;28035;848;-1;21558;-1;-1;-1;-1;134;-1;-1;-1;-1;1176.25;848;1067.010309;0;-1;-1;-1;3647;0;0;-1;-1;-1;0;-1;0;0;-1;-1;417;981;51;2004;362;-1;8101;-1;-1;585;0;28;384;-1;-1;12143;-1;-1;-1;-1;0;0;1691;-1;152;14152;9811;-1;-1;7368;-1;3227;13;0;-1;4315;5165;18796;-1;11;-1;-1;-1;-1;0;0;3495;7458;-1;-1;1450;-1;-1;-1;1712;-1;-1;-1;25433;74320;-1;13697;136;2061;0;-1;0;0;-1;236;-1;-1;4972;2;-1;-1;0;-1;281988.2603
08/1945;-1;33762;709;-1;12650;-1;-1;-1;-1;-1;-1;-1;-1;-1;549;1425;0;0;-1;-1;-1;7427;0;0;-1;-1;-1;0;-1;0;0;-1;-1;0;692;2124;224;2319;-1;18945;-1;-1;35;0;88;92;-1;-1;10824;-1;-1;-1;-1;0;0;109;-1;0;22784;7495;-1;-1;3184;-1;2371;-1;0;-1;8557;1427;10331;408;-1;-1;-1;-1;-1;826;0;3693;9971;-1;-1;0;-1;-1;-1;6360;-1;-1;-1;11298;31563;-1;11698;17;1248;0;-1;0;0;-1;-1;-1;-1;15493;-1;-1;-1;0;-1;240640
09/1945;-1;7525;2449;-1;4807;-1;-1;-1;-1;101;-1;-1;-1;15;739.8;2850;10.30927835;0;-1;-1;-1;10347;0;0;-1;-1;-1;0;-1;0;0;-1;-1;934;6796;2118;323;1310;-1;20003;-1;-1;0;0;5288;255;-1;-1;15142;-1;-1;-1;-1;0;0;1015;-1;542;12653;22045;-1;-1;1715;-1;3468;47;0;-1;5145;-1;5072;-1;7;-1;-1;-1;-1;9138;0;-1;32161;-1;-1;302;-1;-1;-1;39286;-1;-1;-1;24100;92313;-1;7856;1279;918;0;2038;0;0;-1;46;-1;-1;9562;-1;-1;-1;0;-1;351666.1093
10/1945;-1;28888;1829;-1;7817;-1;-1;-1;-1;177;-1;-1;-1;76;1665;2014;814.4329897;0;-1;-1;-1;10859;0;0;-1;-1;-1;0;-1;0;0;-1;-1;2719;2882;3280;619;3088;-1;32679;-1;-1;14;0;24124;2142;-1;-1;19561;-1;-1;-1;-1;0;0;3211;-1;572;13864;12970;-1;-1;955;-1;3859;1884;0;-1;953;26901;12478;-1;20;-1;-1;-1;-1;9729;34;-1;13473;-1;-1;887;-1;-1;-1;37109;-1;-1;-1;37888;100352;-1;7556;1174;1884;0;-1;0;0;-1;203;-1;-1;15013;5;19;-1;0;-1;448187.433
